interval,time,perf_count,iolog_count
0.05,10.200000000000001,223,101
0.05,10.25,228,104
0.05,10.3,226,116
0.05,10.350000000000001,238,106
0.05,10.4,238,100
0.05,10.450000000000001,231,96
0.05,10.5,237,93
0.05,10.55,241,110
0.05,10.600000000000001,236,108
0.05,10.65,236,103
0.05,10.700000000000001,246,106
0.05,10.75,232,98
0.05,10.8,248,93
0.05,10.850000000000001,246,93
0.05,10.9,236,94
0.05,10.950000000000001,242,101
0.05,11.0,238,101
0.05,11.05,243,87
0.05,11.100000000000001,237,97
0.05,11.15,240,102
0.05,11.200000000000001,241,82
0.05,11.25,242,97
0.05,11.3,245,97
0.05,11.350000000000001,254,101
0.05,11.4,240,98
0.05,11.450000000000001,242,94
0.05,11.5,234,102
0.05,11.55,244,95
0.05,11.600000000000001,251,98
0.05,11.65,248,102
0.05,11.700000000000001,237,104
0.05,11.75,228,109
0.05,11.8,234,104
0.05,11.850000000000001,252,86
0.05,11.9,240,105
0.05,11.950000000000001,237,106
0.05,12.0,255,96
0.05,12.05,243,91
0.05,12.100000000000001,241,101
0.05,12.15,248,88
0.05,12.200000000000001,244,90
0.05,12.25,254,95
0.05,12.3,247,99
0.05,12.350000000000001,245,97
0.05,12.4,237,97
0.05,12.450000000000001,238,96
0.05,12.5,254,76
0.05,12.55,249,98
0.05,12.600000000000001,251,84
0.05,12.65,260,88
0.05,12.700000000000001,248,89
0.05,12.75,243,92
0.05,12.8,246,93
0.05,12.850000000000001,242,75
0.05,12.9,245,87
0.05,12.950000000000001,254,69
0.05,13.0,249,84
0.05,13.05,248,75
0.05,13.100000000000001,240,71
0.05,13.15,246,96
0.05,13.200000000000001,244,93
0.05,13.25,259,76
0.05,13.3,252,69
0.05,13.350000000000001,252,67
0.05,13.4,236,80
0.05,13.450000000000001,245,74
0.05,13.5,245,69
0.05,13.55,253,79
0.05,13.600000000000001,254,70
0.05,13.65,264,66
0.05,13.700000000000001,246,72
0.05,13.75,240,78
0.05,13.8,243,81
0.05,13.850000000000001,243,79
0.05,13.9,252,70
0.05,13.950000000000001,246,66
0.05,14.0,241,65
0.05,14.05,233,76
0.05,14.100000000000001,242,59
0.05,14.15,252,63
0.05,14.200000000000001,241,74
0.05,14.25,253,62
0.05,14.3,257,57
0.05,14.350000000000001,256,61
0.05,14.4,252,60
0.05,14.450000000000001,250,51
0.05,14.5,259,63
0.05,14.55,248,59
0.05,14.600000000000001,253,54
0.05,14.65,252,62
0.05,14.700000000000001,242,60
0.05,14.75,260,50
0.05,14.8,254,46
0.05,14.850000000000001,248,47
0.05,14.9,257,48
0.05,14.950000000000001,250,55
0.05,15.0,259,58
0.05,15.05,257,42
0.05,15.100000000000001,261,61
0.05,15.15,256,47
0.05,15.200000000000001,249,54
0.05,15.25,257,66
0.05,15.3,242,53
0.05,15.350000000000001,261,41
0.05,15.4,257,55
0.05,15.450000000000001,256,58
0.05,15.5,244,48
0.05,15.55,247,48
0.05,15.600000000000001,252,49
0.05,15.65,262,51
0.05,15.700000000000001,255,44
0.05,15.75,264,46
0.05,15.8,266,37
0.05,15.850000000000001,250,50
0.05,15.9,260,45
0.05,15.950000000000001,246,55
0.05,16.0,251,46
0.05,16.05,250,60
0.05,16.1,254,45
0.05,16.150000000000002,262,41
0.05,16.2,251,40
0.05,16.25,256,45
0.05,16.3,250,49
0.05,16.35,263,39
0.05,16.400000000000002,261,48
0.05,16.45,255,52
0.05,16.5,248,48
0.05,16.55,258,42
0.05,16.6,250,52
0.05,16.650000000000002,257,47
0.05,16.7,251,53
0.05,16.75,257,45
0.05,16.8,264,41
0.05,16.85,260,39
0.05,16.900000000000002,258,41
0.05,16.95,260,33
0.05,17.0,260,38
0.05,17.05,255,42
0.05,17.1,241,43
0.05,17.150000000000002,248,43
0.05,17.2,249,47
0.05,17.25,245,52
0.05,17.3,260,42
0.05,17.35,256,48
0.05,17.400000000000002,245,55
0.05,17.45,256,48
0.05,17.5,249,41
0.05,17.55,255,49
0.05,17.6,248,41
0.05,17.650000000000002,257,49
0.05,17.7,237,53
0.05,17.75,254,46
0.05,17.8,242,45
0.05,17.85,257,43
0.05,17.900000000000002,248,38
0.05,17.95,257,36
0.05,18.0,258,44
0.05,18.05,259,38
0.05,18.1,240,45
0.05,18.150000000000002,263,55
0.05,18.2,255,38
0.05,18.25,255,48
0.05,18.3,244,52
0.05,18.35,253,51
0.05,18.400000000000002,245,40
0.05,18.45,248,46
0.05,18.5,238,41
0.05,18.55,256,57
0.05,18.6,254,39
0.05,18.650000000000002,247,42
0.05,18.7,242,56
0.05,18.75,246,45
0.05,18.8,259,44
0.05,18.85,258,55
0.05,18.900000000000002,265,36
0.05,18.95,255,39
0.05,19.0,257,32
0.05,19.05,270,37
0.05,19.1,263,47
